sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
47,HEDEF,Hedef,HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HDH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,12268938657.68,17,3317.42131,3698336
48,HEDEF,Hedef,HEDEF PORTFÖY DORUK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HBV,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1060741191.55,17,18.431617,57550088
49,HEDEF,Hedef,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HDA,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,79008127.96,497,3.177623,24863905
50,HEDEF,Hedef,HEDEF PORTFÖY ECE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HVA,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,64524506.87,16,111.312867,579668
51,HEDEF,Hedef,HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HMK,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,68976172.35,39,277.413821,248640
52,HEDEF,Hedef,HEDEF PORTFÖY GÜNEŞ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HGH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1011411.96,19,1.766828,572445
53,HEDEF,Hedef,HEDEF PORTFÖY GÜNEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),HGJ,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,989611351.18,12,9.070936,109096943
54,HEDEF,Hedef,HEDEF PORTFÖY İDEAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HPI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,137509778.18,14,3.995742,34414080
55,HEDEF,Hedef,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),HFI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,60016872.22,130,1.751374,34268457
56,HEDEF,Hedef,HEDEF PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,HPP,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),0.0,0,0.0,0
