fon_kodu,fon_unvani,sirket_grubu,semsiye_fon_turu,portfoy_buyuklugu_tl,kaldirac_var,Hisse Senedi (%),Devlet Tahvili (%),Hazine Bonosu (%),Finansman Bonosu (%),Özel Sektör Tahvili (%),Varlığa Dayalı Menkul Kıymetler (%),Kamu Kira Sertifikaları (TL) (%),Özel Sektör Kira Sertifikaları (%),Ters-Repo (%),Repo (%),BİST Taahhütlü İşlem Pazarı Satım (%),Takasbank Para Piyasası (%),Borsa İstanbul Para Piyasası (%),Mevduat (TL) (%),Katılma Hesabı (TL) (%),Borsa Yatırım Fonları Katılma Payları (%),Yatırım Fonları Katılma Payları (%),Vadeli İşlemler Nakit Teminatları (%),Diğer (%),Girişim Sermayesi Yatırım Fonu Katılma Payları (%),Hisse Senedi (TL),Devlet Tahvili (TL),Hazine Bonosu (TL),Finansman Bonosu (TL),Özel Sektör Tahvili (TL),Varlığa Dayalı Menkul Kıymetler (TL),Kamu Kira Sertifikaları (TL) (TL),Özel Sektör Kira Sertifikaları (TL),Ters-Repo (TL),Repo (TL),BİST Taahhütlü İşlem Pazarı Satım (TL),Takasbank Para Piyasası (TL),Borsa İstanbul Para Piyasası (TL),Mevduat (TL) (TL),Katılma Hesabı (TL) (TL),Borsa Yatırım Fonları Katılma Payları (TL),Yatırım Fonları Katılma Payları (TL),Vadeli İşlemler Nakit Teminatları (TL),Diğer (TL),Girişim Sermayesi Yatırım Fonu Katılma Payları (TL)
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,41865475.15,,84.76,,,,,,,,,,,,,,,,2.89,12.35,,,35485176.74,,,,,,,,,,,,,,,,1209912.23,5170386.18,,
HKP,HEDEF PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,142884579.97,,96.83,,,,,,,,,,,,,,,,3.17,,,,138355138.78,,,,,,,,,,,,,,,,4529441.19,,,
HLR,HEDEF PORTFÖY ADA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,2764637842.66,,99.95,,,,,,,,,,,,,,,,0.05,,,,2763255523.74,,,,,,,,,,,,,,,,1382318.92,,,
HMK,HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,68976172.35,,90.48,,,,,,,,,,,,,,,,0.15,9.37,,,62409640.74,,,,,,,,,,,,,,,,103464.26,6463067.35,,
HMV,HEDEF PORTFÖY MAVİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,15464729987.59,evet,107.45,,,0.12,,,,,,-7.57,,,,,,,,,,,16616852371.67,,,18557675.99,,,,,,-1170680060.06,,,,,,,,,,
HPF,HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,813573542.64,evet,202.87,,,,,,,,,,,,-102.87,,,,,,,,1650496645.95,,,,,,,,,,,,-836923103.31,,,,,,,
HPI,HEDEF PORTFÖY İDEAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,137509778.18,evet,106.04,,,,,,,,,,,,-6.04,,,,,,,,145815368.78,,,,,,,,,,,,-8305590.6,,,,,,,
HPL,HEDEF PORTFÖY ÇINAR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,129585988.06,evet,474.54,,,,,,,,,,,,-376.55,,,,2.01,,,,614937347.74,,,,,,,,,,,,-487956038.04,,,,2604678.36,,,
HPP,HEDEF PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,Hedef,Para Piyasası Şemsiye Fonu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPZ,HEDEF PORTFÖY ZEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN),Hedef,Serbest Şemsiye Fonu,5141529.29,,89.89,,,,,,,,,,,,,,,,5.89,4.22,,,4621720.68,,,,,,,,,,,,,,,,302836.08,216972.54,,
HVA,HEDEF PORTFÖY ECE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,64524506.87,evet,169.41,,,,,,,,,,,,-83.43,,,,7.75,6.27,,,109310967.09,,,,,,,,,,,,-53832796.08,,,,5000649.28,4045686.58,,
HVB,HEDEF PORTFÖY PUSULA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,1154831610.38,,92.83,,,,,,,,,,,,,,,,7.17,,,,1072030183.92,,,,,,,,,,,,,,,,82801426.46,,,
HVC,HEDEF PORTFÖY ROTA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,70316264.17,,93.66,,,,,,,,,,,,,,,,6.34,,,,65858213.02,,,,,,,,,,,,,,,,4458051.15,,,
